Threshold_Years,FP_Cost,FN_Cost,Cost_Ratio,Best_Thresh,FP,FN,FP_Rate,FN_Rate,Error_Ratio_FP_to_FN
5,100,0,inf,0.9500000000000001,0,455,0.0,0.6811377245508982,0.0
5,99,1,99.0,0.9500000000000001,0,455,0.0,0.6811377245508982,0.0
5,98,2,49.0,0.9500000000000001,0,455,0.0,0.6811377245508982,0.0
5,97,3,32.333333333333336,0.9500000000000001,0,455,0.0,0.6811377245508982,0.0
5,96,4,24.0,0.9500000000000001,0,455,0.0,0.6811377245508982,0.0
5,95,5,19.0,0.9400000000000001,1,435,0.0020242914979757085,0.6511976047904192,0.0022988505747126436
5,94,6,15.666666666666666,0.8300000000000001,10,288,0.020242914979757085,0.4311377245508982,0.034722222222222224
5,93,7,13.285714285714286,0.8300000000000001,10,288,0.020242914979757085,0.4311377245508982,0.034722222222222224
5,92,8,11.5,0.8300000000000001,10,288,0.020242914979757085,0.4311377245508982,0.034722222222222224
5,91,9,10.11111111111111,0.8300000000000001,10,288,0.020242914979757085,0.4311377245508982,0.034722222222222224
5,90,10,9.0,0.8200000000000001,11,278,0.022267206477732792,0.4161676646706587,0.039568345323741004
5,89,11,8.090909090909092,0.8200000000000001,11,278,0.022267206477732792,0.4161676646706587,0.039568345323741004
5,88,12,7.333333333333333,0.8200000000000001,11,278,0.022267206477732792,0.4161676646706587,0.039568345323741004
5,87,13,6.6923076923076925,0.8200000000000001,11,278,0.022267206477732792,0.4161676646706587,0.039568345323741004
5,86,14,6.142857142857143,0.8200000000000001,11,278,0.022267206477732792,0.4161676646706587,0.039568345323741004
5,85,15,5.666666666666667,0.76,17,244,0.03441295546558704,0.3652694610778443,0.06967213114754098
5,84,16,5.25,0.7000000000000001,25,202,0.05060728744939271,0.3023952095808383,0.12376237623762376
5,83,17,4.882352941176471,0.7000000000000001,25,202,0.05060728744939271,0.3023952095808383,0.12376237623762376
5,82,18,4.555555555555555,0.7000000000000001,25,202,0.05060728744939271,0.3023952095808383,0.12376237623762376
5,81,19,4.2631578947368425,0.7000000000000001,25,202,0.05060728744939271,0.3023952095808383,0.12376237623762376
5,80,20,4.0,0.7000000000000001,25,202,0.05060728744939271,0.3023952095808383,0.12376237623762376
5,79,21,3.761904761904762,0.7000000000000001,25,202,0.05060728744939271,0.3023952095808383,0.12376237623762376
5,78,22,3.5454545454545454,0.7000000000000001,25,202,0.05060728744939271,0.3023952095808383,0.12376237623762376
5,77,23,3.347826086956522,0.7000000000000001,25,202,0.05060728744939271,0.3023952095808383,0.12376237623762376
5,76,24,3.1666666666666665,0.7000000000000001,25,202,0.05060728744939271,0.3023952095808383,0.12376237623762376
5,75,25,3.0,0.65,35,171,0.0708502024291498,0.2559880239520958,0.2046783625730994
5,74,26,2.8461538461538463,0.65,35,171,0.0708502024291498,0.2559880239520958,0.2046783625730994
5,73,27,2.7037037037037037,0.65,35,171,0.0708502024291498,0.2559880239520958,0.2046783625730994
5,72,28,2.5714285714285716,0.65,35,171,0.0708502024291498,0.2559880239520958,0.2046783625730994
5,71,29,2.4482758620689653,0.65,35,171,0.0708502024291498,0.2559880239520958,0.2046783625730994
5,70,30,2.3333333333333335,0.65,35,171,0.0708502024291498,0.2559880239520958,0.2046783625730994
5,69,31,2.225806451612903,0.65,35,171,0.0708502024291498,0.2559880239520958,0.2046783625730994
5,68,32,2.125,0.65,35,171,0.0708502024291498,0.2559880239520958,0.2046783625730994
5,67,33,2.0303030303030303,0.65,35,171,0.0708502024291498,0.2559880239520958,0.2046783625730994
5,66,34,1.9411764705882353,0.64,37,167,0.07489878542510121,0.25,0.2215568862275449
5,65,35,1.8571428571428572,0.64,37,167,0.07489878542510121,0.25,0.2215568862275449
5,64,36,1.7777777777777777,0.64,37,167,0.07489878542510121,0.25,0.2215568862275449
5,63,37,1.7027027027027026,0.64,37,167,0.07489878542510121,0.25,0.2215568862275449
5,62,38,1.631578947368421,0.64,37,167,0.07489878542510121,0.25,0.2215568862275449
5,61,39,1.564102564102564,0.64,37,167,0.07489878542510121,0.25,0.2215568862275449
5,60,40,1.5,0.62,43,158,0.08704453441295547,0.23652694610778444,0.2721518987341772
5,59,41,1.4390243902439024,0.62,43,158,0.08704453441295547,0.23652694610778444,0.2721518987341772
5,58,42,1.380952380952381,0.62,43,158,0.08704453441295547,0.23652694610778444,0.2721518987341772
5,57,43,1.3255813953488371,0.62,43,158,0.08704453441295547,0.23652694610778444,0.2721518987341772
5,56,44,1.2727272727272727,0.55,69,124,0.1396761133603239,0.18562874251497005,0.5564516129032258
5,55,45,1.2222222222222223,0.55,69,124,0.1396761133603239,0.18562874251497005,0.5564516129032258
5,54,46,1.173913043478261,0.55,69,124,0.1396761133603239,0.18562874251497005,0.5564516129032258
5,53,47,1.127659574468085,0.55,69,124,0.1396761133603239,0.18562874251497005,0.5564516129032258
5,52,48,1.0833333333333333,0.55,69,124,0.1396761133603239,0.18562874251497005,0.5564516129032258
5,51,49,1.0408163265306123,0.55,69,124,0.1396761133603239,0.18562874251497005,0.5564516129032258
5,50,50,1.0,0.37,125,67,0.25303643724696356,0.10029940119760479,1.8656716417910448
5,49,51,0.9607843137254902,0.37,125,67,0.25303643724696356,0.10029940119760479,1.8656716417910448
5,48,52,0.9230769230769231,0.37,125,67,0.25303643724696356,0.10029940119760479,1.8656716417910448
5,47,53,0.8867924528301887,0.37,125,67,0.25303643724696356,0.10029940119760479,1.8656716417910448
5,46,54,0.8518518518518519,0.37,125,67,0.25303643724696356,0.10029940119760479,1.8656716417910448
5,45,55,0.8181818181818182,0.37,125,67,0.25303643724696356,0.10029940119760479,1.8656716417910448
5,44,56,0.7857142857142857,0.37,125,67,0.25303643724696356,0.10029940119760479,1.8656716417910448
5,43,57,0.7543859649122807,0.37,125,67,0.25303643724696356,0.10029940119760479,1.8656716417910448
5,42,58,0.7241379310344828,0.32,144,53,0.291497975708502,0.07934131736526946,2.7169811320754715
5,41,59,0.6949152542372882,0.32,144,53,0.291497975708502,0.07934131736526946,2.7169811320754715
5,40,60,0.6666666666666666,0.32,144,53,0.291497975708502,0.07934131736526946,2.7169811320754715
5,39,61,0.639344262295082,0.32,144,53,0.291497975708502,0.07934131736526946,2.7169811320754715
5,38,62,0.6129032258064516,0.32,144,53,0.291497975708502,0.07934131736526946,2.7169811320754715
5,37,63,0.5873015873015873,0.32,144,53,0.291497975708502,0.07934131736526946,2.7169811320754715
5,36,64,0.5625,0.32,144,53,0.291497975708502,0.07934131736526946,2.7169811320754715
